company_id,year,capital_allocation,free_cash_flow,fcf_conversion,capex_intensity
DIVISLAB,Mar 2020,Reinvestor,1133.0,62.05,1.54
DIVISLAB,Mar 2021,Liquidating Assets,2022.0,70.53,1.08
DIVISLAB,Mar 2022,Reinvestor,-283.0,-7.28,24.5
DIVISLAB,Mar 2023,Reinvestor,-248.0,-10.46,34.85
DIVISLAB,Mar 2024,Reinvestor,992.0,44.89,3.43
DLF,Mar 2013,Liquidating Assets,4004.0,152.07,25.67
DLF,Mar 2014,Liquidating Assets,5392.0,216.29,47.29
DLF,Mar 2015,Liquidating Assets,2135.0,70.84,1.28
DLF,Mar 2016,Shareholder Returns,2139.0,53.93,8.24
DLF,Mar 2017,Distress Signal,-26.0,-0.75,10.61
DLF,Mar 2018,Shareholder Returns,-1832.0,-77.04,31.34
DLF,Mar 2019,Cash Accumulator,2046.0,95.25,0.04
DLF,Mar 2020,Liquidating Assets,6864.0,598.95,106.99
DLF,Mar 2021,Liquidating Assets,1610.0,109.6,2.77
DLF,Mar 2022,Liquidating Assets,3099.0,177.8,4.67
DLF,Mar 2023,Shareholder Returns,1914.0,110.89,8.09
DLF,Mar 2024,Mixed,1010.0,47.55,23.79
DMART,Mar 2013,Mixed,-104.0,-48.37,6.91
DMART,Mar 2014,Mixed,-72.0,-21.11,5.76
DMART,Mar 2015,Mixed,-252.0,-55.26,7.36
DMART,Mar 2016,Mixed,-200.0,-30.12,7.37
DMART,Mar 2017,Mixed,-2027.0,-209.18,20.86
DMART,Mar 2018,Liquidating Assets,1194.0,88.25,3.09
DMART,Mar 2019,Mixed,-151.0,-9.25,4.79
DMART,Mar 2020,Mixed,-3377.0,-158.69,18.73
DMART,Mar 2021,Shareholder Returns,265.0,15.19,4.6
DMART,Mar 2022,Shareholder Returns,83.0,3.32,4.16
DMART,Mar 2023,Shareholder Returns,317.0,8.71,5.4
DMART,Mar 2024,Shareholder Returns,278.0,6.77,4.86
DRREDDY,Mar 2013,Shareholder Returns,-59.0,-2.21,12.14
DRREDDY,Mar 2014,Shareholder Returns,366.0,11.26,11.96
DRREDDY,Mar 2015,Shareholder Returns,154.0,4.39,15.78
DRREDDY,Mar 2016,Shareholder Returns,1653.0,46.11,10.34
DRREDDY,Mar 2017,Shareholder Returns,254.0,10.28,13.31
DRREDDY,Mar 2018,Shareholder Returns,320.0,13.61,10.38
DRREDDY,Mar 2019,Shareholder Returns,2101.0,66.11,4.98
DRREDDY,Mar 2020,Shareholder Returns,2489.0,100.48,2.83
DRREDDY,Mar 2021,Shareholder Returns,1315.0,33.94,11.84
DRREDDY,Mar 2022,Shareholder Returns,246.0,6.53,11.91
DRREDDY,Mar 2023,Shareholder Returns,1779.0,27.5,16.66
DRREDDY,Mar 2024,Shareholder Returns,509.0,6.42,14.4
EICHERMOT,Mar 2016,Shareholder Returns,462.0,27.34,16.22
EICHERMOT,Mar 2017,Mixed,-36.0,-1.66,24.8
EICHERMOT,Mar 2018,Shareholder Returns,337.0,12.0,23.93
EICHERMOT,Mar 2019,Shareholder Returns,915.0,31.51,6.74
EICHERMOT,Mar 2020,Shareholder Returns,186.0,8.52,16.47
EICHERMOT,Mar 2021,Shareholder Returns,66.0,3.7,18.64
EICHERMOT,Mar 2022,Shareholder Returns,544.0,24.98,9.55
EICHERMOT,Mar 2023,Shareholder Returns,426.0,12.36,16.6
EICHERMOT,Mar 2024,Shareholder Returns,890.0,20.56,17.14
GAIL,Mar 2013,Mixed,-2023.0,-27.24,16.92
GAIL,Mar 2014,Shareholder Returns,149.0,1.87,7.23
GAIL,Mar 2015,Shareholder Returns,1405.0,24.95,4.64
GAIL,Mar 2016,Shareholder Returns,3056.0,67.37,1.74
GAIL,Mar 2017,Shareholder Returns,5690.0,94.5,0.69
GAIL,Mar 2018,Shareholder Returns,6109.0,78.3,4.88
GAIL,Mar 2019,Shareholder Returns,2283.0,22.97,7.48
GAIL,Mar 2020,Mixed,46.0,0.51,11.44
GAIL,Mar 2021,Shareholder Returns,4353.0,60.08,8.09
GAIL,Mar 2022,Shareholder Returns,3930.0,25.92,5.92
GAIL,Mar 2023,Mixed,-4248.0,-56.64,5.12
GAIL,Mar 2024,Shareholder Returns,4360.0,30.46,6.17
GODREJCP,Mar 2013,Mixed,-45.0,-4.52,13.49
GODREJCP,Mar 2014,Reinvestor,622.0,53.21,6.5
GODREJCP,Mar 2015,Reinvestor,-209.0,-15.16,14.94
GODREJCP,Mar 2016,Reinvestor,225.0,13.58,7.38
GODREJCP,Mar 2017,Mixed,-383.0,-20.08,24.2
